movieId,clean_title,Total_Ratings,Average_Rating
318,"Shawshank Redemption, The",317,4.429022082018927
858,"Godfather, The",192,4.2890625
2959,Fight Club,218,4.272935779816514
1276,Cool Hand Luke,57,4.271929824561403
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97,4.268041237113402
904,Rear Window,84,4.261904761904762
1221,"Godfather: Part II, The",129,4.25968992248062
48516,"Departed, The",107,4.252336448598131
1213,Goodfellas,126,4.25
912,Casablanca,100,4.24
58559,"Dark Knight, The",149,4.238255033557047
50,"Usual Suspects, The",204,4.237745098039215
1197,"Princess Bride, The",142,4.232394366197183
260,Star Wars: Episode IV - A New Hope,251,4.231075697211155
527,Schindler's List,220,4.225
1208,Apocalypse Now,107,4.219626168224299
2329,American History X,129,4.217054263565892
1196,Star Wars: Episode V - The Empire Strikes Back,211,4.2156398104265405
1252,Chinatown,59,4.211864406779661
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),200,4.2075
1193,One Flew Over the Cuckoo's Nest,133,4.203007518796992
1089,Reservoir Dogs,131,4.202290076335878
296,Pulp Fiction,307,4.197068403908795
2571,"Matrix, The",278,4.192446043165468
1225,Amadeus,76,4.184210526315789
908,North by Northwest,57,4.184210526315789
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",120,4.183333333333334
1199,Brazil,59,4.177966101694915
356,Forrest Gump,329,4.164133738601824
1136,Monty Python and the Holy Grail,136,4.161764705882353
593,"Silence of the Lambs, The",279,4.161290322580645
7361,Eternal Sunshine of the Spotless Mind,131,4.1603053435114505
4011,Snatch,93,4.155913978494624
5618,Spirited Away (Sen to Chihiro no kamikakushi),87,4.155172413793103
1203,12 Angry Men,57,4.149122807017544
3147,"Green Mile, The",111,4.148648648648648
2324,Life Is Beautiful (La Vita è bella),88,4.1477272727272725
6016,City of God (Cidade de Deus),75,4.1466666666666665
2028,Saving Private Ryan,188,4.1462765957446805
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",72,4.145833333333333
1210,Star Wars: Episode VI - Return of the Jedi,196,4.137755102040816
68157,Inglourious Basterds,88,4.136363636363637
4226,Memento,159,4.122641509433962
1207,To Kill a Mockingbird,58,4.120689655172414
7153,"Lord of the Rings: The Return of the King, The",185,4.118918918918919
608,Fargo,181,4.116022099447513
78499,Toy Story 3,55,4.109090909090909
4993,"Lord of the Rings: The Fellowship of the Ring, The",198,4.106060606060606
111,Taxi Driver,104,4.105769230769231
541,Blade Runner,124,4.100806451612903
1222,Full Metal Jacket,102,4.098039215686274
2502,Office Space,94,4.090425531914893
1258,"Shining, The",109,4.08256880733945
1704,Good Will Hunting,141,4.078014184397163
79132,Inception,143,4.066433566433567
1247,"Graduate, The",79,4.063291139240507
1617,L.A. Confidential,97,4.061855670103093
60069,WALL·E,104,4.0576923076923075
2858,American Beauty,204,4.056372549019608
2542,"Lock, Stock & Two Smoking Barrels",67,4.052238805970149
112852,Guardians of the Galaxy,59,4.0508474576271185
1291,Indiana Jones and the Last Crusade,140,4.046428571428572
923,Citizen Kane,69,4.043478260869565
81845,"King's Speech, The",58,4.043103448275862
778,Trainspotting,102,4.03921568627451
1215,Army of Darkness,51,4.03921568627451
1270,Back to the Future,171,4.038011695906433
1219,Psycho,83,4.036144578313253
1148,Wallace & Gromit: The Wrong Trousers,56,4.035714285714286
953,It's a Wonderful Life,58,4.0344827586206895
6711,Lost in Translation,74,4.033783783783784
110,Braveheart,237,4.031645569620253
903,Vertigo,60,4.025
74458,Shutter Island,67,4.022388059701493
5952,"Lord of the Rings: The Two Towers, The",188,4.0212765957446805
116797,The Imitation Game,50,4.02
293,Léon: The Professional (a.k.a. The Professional) (Léon),133,4.018796992481203
1288,This Is Spinal Tap,66,4.015151515151516
910,Some Like It Hot,50,4.01
8874,Shaun of the Dead,77,4.0064935064935066
48780,"Prestige, The",90,4.0055555555555555
1387,Jaws,91,4.0054945054945055
1259,Stand by Me,91,4.0054945054945055
68954,Up,105,4.004761904761905
2692,Run Lola Run (Lola rennt),75,4.0
51255,Hot Fuzz,61,4.0
4995,"Beautiful Mind, A",123,4.0
1206,"Clockwork Orange, A",120,3.995833333333333
91529,"Dark Knight Rises, The",76,3.9934210526315788
109487,Interstellar,73,3.993150684931507
1278,Young Frankenstein,69,3.9927536231884058
457,"Fugitive, The",190,3.9921052631578946
1394,Raising Arizona,58,3.9913793103448274
1090,Platoon,63,3.984126984126984
32,Twelve Monkeys (a.k.a. 12 Monkeys),177,3.983050847457627
4878,Donnie Darko,109,3.981651376146789
1234,"Sting, The",64,3.9765625
47,Seven (a.k.a. Se7en),203,3.9753694581280787
6502,28 Days Later,58,3.9741379310344827
2804,"Christmas Story, A",55,3.9727272727272727
589,Terminator 2: Judgment Day,224,3.970982142857143
1214,Alien,146,3.969178082191781
1200,Aliens,126,3.9642857142857144
