movieId,clean_title,Total_Ratings,Average_Rating
356,Forrest Gump,329,4.164133738601824
318,"Shawshank Redemption, The",317,4.429022082018927
296,Pulp Fiction,307,4.197068403908795
593,"Silence of the Lambs, The",279,4.161290322580645
2571,"Matrix, The",278,4.192446043165468
260,Star Wars: Episode IV - A New Hope,251,4.231075697211155
480,Jurassic Park,238,3.75
110,Braveheart,237,4.031645569620253
589,Terminator 2: Judgment Day,224,3.970982142857143
527,Schindler's List,220,4.225
2959,Fight Club,218,4.272935779816514
1,Toy Story,215,3.9209302325581397
1196,Star Wars: Episode V - The Empire Strikes Back,211,4.2156398104265405
2858,American Beauty,204,4.056372549019608
50,"Usual Suspects, The",204,4.237745098039215
47,Seven (a.k.a. Se7en),203,3.9753694581280787
780,Independence Day (a.k.a. ID4),202,3.4455445544554455
150,Apollo 13,201,3.845771144278607
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),200,4.2075
4993,"Lord of the Rings: The Fellowship of the Ring, The",198,4.106060606060606
