movieId,clean_title,Total_Ratings,Average_Rating
356,Forrest Gump,329,4.164133738601824
318,"Shawshank Redemption, The",317,4.429022082018927
296,Pulp Fiction,307,4.197068403908795
593,"Silence of the Lambs, The",279,4.161290322580645
2571,"Matrix, The",278,4.192446043165468
260,Star Wars: Episode IV - A New Hope,251,4.231075697211155
480,Jurassic Park,238,3.75
110,Braveheart,237,4.031645569620253
589,Terminator 2: Judgment Day,224,3.970982142857143
527,Schindler's List,220,4.225
2959,Fight Club,218,4.272935779816514
1,Toy Story,215,3.9209302325581397
1196,Star Wars: Episode V - The Empire Strikes Back,211,4.2156398104265405
2858,American Beauty,204,4.056372549019608
50,"Usual Suspects, The",204,4.237745098039215
47,Seven (a.k.a. Se7en),203,3.9753694581280787
780,Independence Day (a.k.a. ID4),202,3.4455445544554455
150,Apollo 13,201,3.845771144278607
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),200,4.2075
4993,"Lord of the Rings: The Fellowship of the Ring, The",198,4.106060606060606
1210,Star Wars: Episode VI - Return of the Jedi,196,4.137755102040816
858,"Godfather, The",192,4.2890625
457,"Fugitive, The",190,3.9921052631578946
592,Batman,189,3.4285714285714284
5952,"Lord of the Rings: The Two Towers, The",188,4.0212765957446805
2028,Saving Private Ryan,188,4.1462765957446805
7153,"Lord of the Rings: The Return of the King, The",185,4.118918918918919
588,Aladdin,183,3.7923497267759565
608,Fargo,181,4.116022099447513
2762,"Sixth Sense, The",179,3.893854748603352
380,True Lies,178,3.497191011235955
32,Twelve Monkeys (a.k.a. 12 Monkeys),177,3.983050847457627
364,"Lion King, The",172,3.941860465116279
1270,Back to the Future,171,4.038011695906433
377,Speed,171,3.5292397660818713
3578,Gladiator,170,3.9382352941176473
4306,Shrek,170,3.8676470588235294
1580,Men in Black (a.k.a. MIB),165,3.487878787878788
590,Dances with Wolves,164,3.8353658536585367
648,Mission: Impossible,162,3.537037037037037
344,Ace Ventura: Pet Detective,161,3.040372670807453
4226,Memento,159,4.122641509433962
367,"Mask, The",157,3.1847133757961785
58559,"Dark Knight, The",149,4.238255033557047
6539,Pirates of the Caribbean: The Curse of the Black Pearl,149,3.778523489932886
1214,Alien,146,3.969178082191781
595,Beauty and the Beast,146,3.7705479452054793
1036,Die Hard,145,3.8620689655172415
500,Mrs. Doubtfire,144,3.388888888888889
165,Die Hard: With a Vengeance,144,3.5555555555555554
79132,Inception,143,4.066433566433567
1265,Groundhog Day,143,3.944055944055944
1197,"Princess Bride, The",142,4.232394366197183
6377,Finding Nemo,141,3.9609929078014185
1704,Good Will Hunting,141,4.078014184397163
316,Stargate,140,3.375
2628,Star Wars: Episode I - The Phantom Menace,140,3.107142857142857
1721,Titanic,140,3.414285714285714
1291,Indiana Jones and the Last Crusade,140,4.046428571428572
153,Batman Forever,137,2.9160583941605838
1136,Monty Python and the Holy Grail,136,4.161764705882353
597,Pretty Woman,135,3.4851851851851854
1193,One Flew Over the Cuckoo's Nest,133,4.203007518796992
293,Léon: The Professional (a.k.a. The Professional) (Léon),133,4.018796992481203
231,Dumb & Dumber (Dumb and Dumber),133,3.0601503759398496
3793,X-Men,133,3.699248120300752
10,GoldenEye,132,3.496212121212121
4886,"Monsters, Inc.",132,3.871212121212121
6874,Kill Bill: Vol. 1,131,3.9618320610687023
1089,Reservoir Dogs,131,4.202290076335878
1240,"Terminator, The",131,3.8969465648854964
7361,Eternal Sunshine of the Spotless Mind,131,4.1603053435114505
1221,"Godfather: Part II, The",129,4.25968992248062
2329,American History X,129,4.217054263565892
34,Babe,128,3.65234375
1200,Aliens,126,3.9642857142857144
1213,Goodfellas,126,4.25
1682,"Truman Show, The",125,3.812
8961,"Incredibles, The",125,3.836
541,Blade Runner,124,4.100806451612903
736,Twister,123,3.321138211382114
4995,"Beautiful Mind, A",123,4.0
1097,E.T. the Extra-Terrestrial,122,3.7663934426229506
5349,Spider-Man,122,3.540983606557377
2683,Austin Powers: The Spy Who Shagged Me,121,3.1983471074380163
733,"Rock, The",121,3.6404958677685952
2716,Ghostbusters (a.k.a. Ghost Busters),120,3.775
5445,Minority Report,120,3.6375
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",120,4.183333333333334
1206,"Clockwork Orange, A",120,3.995833333333333
4963,Ocean's Eleven,119,3.8445378151260505
1073,Willy Wonka & the Chocolate Factory,119,3.8739495798319328
33794,Batman Begins,116,3.8620689655172415
1527,"Fifth Element, The",116,3.7456896551724137
586,Home Alone,116,2.9956896551724137
5989,Catch Me If You Can,115,3.9217391304347826
587,Ghost,115,3.4347826086956523
208,Waterworld,115,2.9130434782608696
1968,"Breakfast Club, The",113,3.7787610619469025
185,"Net, The",112,3.0401785714285716
5418,"Bourne Identity, The",112,3.8169642857142856
3147,"Green Mile, The",111,4.148648648648648
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",110,3.8363636363636364
2,Jumanji,110,3.4318181818181817
349,Clear and Present Danger,110,3.6045454545454545
7438,Kill Bill: Vol. 2,110,3.868181818181818
253,Interview with the Vampire: The Vampire Chronicles,109,3.458715596330275
1258,"Shining, The",109,4.08256880733945
2918,Ferris Bueller's Day Off,109,3.8394495412844036
924,2001: A Space Odyssey,109,3.8944954128440368
4878,Donnie Darko,109,3.981651376146789
329,Star Trek: Generations,108,3.3935185185185186
2115,Indiana Jones and the Temple of Doom,108,3.638888888888889
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),107,3.7616822429906542
1208,Apocalypse Now,107,4.219626168224299
48516,"Departed, The",107,4.252336448598131
1732,"Big Lebowski, The",106,3.9245283018867925
539,Sleepless in Seattle,106,3.4716981132075473
68954,Up,105,4.004761904761905
1923,There's Something About Mary,105,3.676190476190476
111,Taxi Driver,104,4.105769230769231
60069,WALL·E,104,4.0576923076923075
39,Clueless,104,3.293269230769231
223,Clerks,104,3.855769230769231
357,Four Weddings and a Funeral,103,3.5194174757281553
2706,American Pie,103,3.378640776699029
161,Crimson Tide,103,3.6359223300970873
6,Heat,102,3.946078431372549
1222,Full Metal Jacket,102,4.098039215686274
5816,Harry Potter and the Chamber of Secrets,102,3.5980392156862746
778,Trainspotting,102,4.03921568627451
292,Outbreak,101,3.4257425742574257
454,"Firm, The",101,3.5346534653465347
434,Cliffhanger,101,3.0346534653465347
4022,Cast Away,100,3.7
1517,Austin Powers: International Man of Mystery,100,3.535
44191,V for Vendetta,100,3.885
912,Casablanca,100,4.24
104,Happy Gilmore,99,3.4393939393939394
2997,Being John Malkovich,99,3.9545454545454546
339,While You Were Sleeping,98,3.4693877551020407
72998,Avatar,97,3.6030927835051547
3114,Toy Story 2,97,3.8608247422680413
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97,4.268041237113402
2987,Who Framed Roger Rabbit?,97,3.5721649484536084
1617,L.A. Confidential,97,4.061855670103093
1784,As Good as It Gets,96,3.6979166666666665
6365,"Matrix Reloaded, The",96,3.3541666666666665
1961,Rain Man,96,3.8072916666666665
3949,Requiem for a Dream,96,3.921875
2502,Office Space,94,4.090425531914893
4027,"O Brother, Where Art Thou?",94,3.8085106382978724
59315,Iron Man,94,3.824468085106383
8368,Harry Potter and the Prisoner of Azkaban,93,3.913978494623656
551,"Nightmare Before Christmas, The",93,3.553763440860215
4011,Snatch,93,4.155913978494624
2396,Shakespeare in Love,92,3.777173913043478
5378,Star Wars: Episode II - Attack of the Clones,92,3.157608695652174
288,Natural Born Killers,92,3.233695652173913
8360,Shrek 2,92,3.5760869565217392
2355,"Bug's Life, A",92,3.516304347826087
919,"Wizard of Oz, The",92,3.880434782608696
1917,Armageddon,92,3.0543478260869565
2797,Big,91,3.71978021978022
1356,Star Trek: First Contact,91,3.879120879120879
2174,Beetlejuice,91,3.4725274725274726
1259,Stand by Me,91,4.0054945054945055
3948,Meet the Parents,91,3.4175824175824174
1387,Jaws,91,4.0054945054945055
1610,"Hunt for Red October, The",90,3.8722222222222222
48780,"Prestige, The",90,4.0055555555555555
1080,Monty Python's Life of Brian,89,3.9269662921348316
21,Get Shorty,89,3.49438202247191
2012,Back to the Future Part III,88,3.3693181818181817
2324,Life Is Beautiful (La Vita è bella),88,4.1477272727272725
19,Ace Ventura: When Nature Calls,88,2.727272727272727
2916,Total Recall,88,3.653409090909091
68157,Inglourious Basterds,88,4.136363636363637
