Year,Movies
1902.0,1
1903.0,1
1908.0,1
1915.0,1
1916.0,4
1917.0,1
1919.0,1
1920.0,2
1921.0,1
1922.0,1
1923.0,4
1924.0,5
1925.0,4
1926.0,5
1927.0,7
1928.0,4
1929.0,4
1930.0,5
1931.0,14
1932.0,9
1933.0,12
1934.0,11
1935.0,13
1936.0,18
1937.0,16
1938.0,15
1939.0,23
1940.0,25
1941.0,18
1942.0,23
1943.0,10
1944.0,16
1945.0,17
1946.0,23
1947.0,20
1948.0,20
1949.0,25
1950.0,21
1951.0,22
1952.0,16
1953.0,30
1954.0,23
1955.0,36
1956.0,30
1957.0,33
1958.0,31
1959.0,37
1960.0,37
1961.0,34
1962.0,40
1963.0,39
1964.0,43
1965.0,47
1966.0,42
1967.0,42
1968.0,42
1969.0,35
1970.0,33
1971.0,47
1972.0,39
1973.0,59
1974.0,45
1975.0,42
1976.0,44
1977.0,63
1978.0,59
1979.0,69
1980.0,89
1981.0,92
1982.0,87
1983.0,83
1984.0,101
1985.0,126
1986.0,139
1987.0,153
1988.0,165
1989.0,142
1990.0,147
1991.0,147
1992.0,167
1993.0,198
1994.0,237
1995.0,259
1996.0,276
1997.0,260
1998.0,258
1999.0,263
2000.0,283
2001.0,294
2002.0,311
2003.0,279
2004.0,279
2005.0,273
2006.0,295
2007.0,284
2008.0,269
2009.0,282
2010.0,247
2011.0,254
2012.0,233
2013.0,239
2014.0,278
2015.0,274
2016.0,218
2017.0,147
2018.0,41
